2.3805 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
261.5028 	DATA 	PLAYER THROWS TO 3 - RT 0.0101
261.5029 	DATA 	round 3 - trial 94 - throw: 2to3 - PBALL
261.9989 	DATA 	Keypress: 5
264.4153 	DATA 	Keypress: 5
264.6147 	DATA 	round 3 - trial 95 - throw: 3to2 - PBALL
265.8190 	DATA 	Keypress: 2
265.8793 	DATA 	PLAYER HAS BALL
265.8895 	DATA 	PLAYER THROWS TO 3 - RT 0.0101
265.8895 	DATA 	round 3 - trial 96 - throw: 2to3 - PBALL
265.9987 	DATA 	Keypress: 5
269.8065 	DATA 	Keypress: 5
269.9979 	DATA 	Keypress: 5
270.0090 	DATA 	round 3 - trial 97 - throw: 3to2 - PBALL
271.2199 	DATA 	Keypress: 2
271.2731 	DATA 	PLAYER HAS BALL
271.2833 	DATA 	PLAYER THROWS TO 3 - RT 0.0101
271.2833 	DATA 	round 3 - trial 98 - throw: 2to3 - PBALL
271.9979 	DATA 	Keypress: 5
272.4015 	DATA 	round 3 - trial 99 - throw: 3to2 - PBALL
273.5849 	DATA 	Keypress: 1
273.6653 	DATA 	PLAYER HAS BALL
273.6754 	DATA 	PLAYER THROWS TO 1 - RT 0.0101
273.6755 	DATA 	round 3 - trial 100 - throw: 2to1 - PBALL
274.0004 	DATA 	Keypress: 5
274.7825 	DATA 	round 3 - trial 101 - throw: 1to2 - PBALL
275.9979 	DATA 	Keypress: 5
276.0462 	DATA 	PLAYER HAS BALL
276.0950 	DATA 	Keypress: 1
276.0968 	DATA 	PLAYER THROWS TO 1 - RT 0.0506
276.0969 	DATA 	round 3 - trial 102 - throw: 2to1 - PBALL
280.0106 	DATA 	Keypress: 5
280.0111 	DATA 	Keypress: 5
280.2101 	DATA 	round 3 - trial 103 - throw: 1to2 - PBALL
281.4119 	DATA 	Keypress: 2
281.4742 	DATA 	PLAYER HAS BALL
281.4844 	DATA 	PLAYER THROWS TO 3 - RT 0.0101
281.4844 	DATA 	round 3 - trial 104 - throw: 2to3 - PBALL
281.9979 	DATA 	Keypress: 5
282.5906 	DATA 	round 3 - trial 105 - throw: 3to2 - PBALL
283.7849 	DATA 	Keypress: 2
283.8554 	DATA 	PLAYER HAS BALL
283.8655 	DATA 	PLAYER THROWS TO 3 - RT 0.0101
283.8656 	DATA 	round 3 - trial 106 - throw: 2to3 - PBALL
283.9979 	DATA 	Keypress: 5
284.9723 	DATA 	round 3 - trial 107 - throw: 3to2 - PBALL
285.9980 	DATA 	Keypress: 5
286.1228 	DATA 	Keypress: 2
286.2362 	DATA 	PLAYER HAS BALL
286.2528 	DATA 	PLAYER THROWS TO 3 - RT 0.0166
286.2528 	DATA 	round 3 - trial 108 - throw: 2to3 - PBALL
288.1685 	DATA 	Keypress: 5
288.3711 	DATA 	round 3 - trial 109 - throw: 3to2 - PBALL
289.5772 	DATA 	Keypress: 1
289.6583 	DATA 	PLAYER HAS BALL
289.6685 	DATA 	PLAYER THROWS TO 1 - RT 0.0102
289.6685 	DATA 	round 3 - trial 110 - throw: 2to1 - PBALL
289.9978 	DATA 	Keypress: 5
290.7756 	DATA 	round 3 - trial 111 - throw: 1to2 - PBALL
291.9978 	DATA 	Keypress: 5
292.0406 	DATA 	PLAYER HAS BALL
292.2799 	DATA 	Keypress: 1
292.2843 	DATA 	PLAYER THROWS TO 1 - RT 0.2437
292.2844 	DATA 	round 3 - trial 112 - throw: 2to1 - PBALL
294.2004 	DATA 	Keypress: 5
